,,,,,,,
,,,,,,,
1.0,The entire group of individuals or instances about which we want to learn.,Population,Sampling variability,Systematic sample,Population parameter,20.0,3.0
2.0,A subset of a population examined to learn about the entire group.,Sample,Convenience sample,Undercoverage,Systematic sample,20.0,3.0
3.0,A study that asks questions of a sample drawn from a population to learn about the whole population.,Sample survey,Stratified random sample,Response bias,Convenience sample,20.0,3.0
4.0,A systematic failure of a sampling method that results in over- or underestimating population parameters.,Bias,Systematic sample,Randomization,Undercoverage,20.0,3.0
5.0,"A method that ensures each individual has an equal chance of selection, reducing bias.",Randomization,Bias,Multistage sample,Systematic sample,20.0,3.0
6.0,"The number of individuals included in a sample, influencing how well it represents the population.",Sample size,Response bias,Convenience sample,Representative,20.0,3.0
7.0,A sample that consists of the entire population.,Census,Nonresponse bias,Multistage sample,Bias,20.0,3.0
8.0,"A numerically valued attribute of a model for a population, often estimated from sampled data.",Population parameter,Pilot survey,Census,Systematic sample,20.0,3.0
9.0,Values calculated from sampled data that estimate population parameters.,"Statistic, sample statistic",Convenience sample,Sampling variability,Undercoverage,20.0,3.0
10.0,A sample accurately reflecting the corresponding population parameters.,Representative,Convenience sample,Sample survey,Simple random sample (SRS),20.0,3.0
11.0,A sample where each set of elements has an equal chance of being selected.,Simple random sample (SRS),Population parameter,Response bias,Systematic sample,20.0,3.0
12.0,A list of individuals from whom the sample is drawn.,Sampling frame,Nonresponse bias,Sample size,Stratified random sample,20.0,3.0
13.0,The natural tendency for randomly drawn samples to differ from one another.,Sampling variability,Stratified random sample,Sample survey,Undercoverage,20.0,3.0
14.0,"A sampling design where the population is divided into subpopulations, and samples are drawn from each.",Stratified random sample,Representative,Population,Systematic sample,20.0,3.0
15.0,"A sampling design where entire groups are chosen at random, with each group being representative of the population.",Cluster sample,Census,Convenience sample,Sampling variability,20.0,3.0
16.0,"A sampling design that combines several methods, such as stratifying the population and then selecting clusters within each stratum.",Multistage sample,Sample size,Pilot survey,Cluster sample,20.0,3.0
17.0,A sample drawn by selecting individuals systematically from a sampling frame.,Systematic sample,Stratified random sample,Sample,Census,20.0,3.0
18.0,A small trial run of a survey to check clarity and reduce errors.,Pilot survey,Systematic sample,Cluster sample,Population parameter,20.0,3.0
19.0,Bias introduced when individuals can choose whether to participate in a sample.,Voluntary response bias,Sampling frame,Undercoverage,Census,20.0,3.0
20.0,"A sample consisting of individuals who are conveniently available, often unrepresentative of the population.",Convenience sample,Bias,"Statistic, sample statistic",Sampling frame,20.0,3.0
21.0,Bias that occurs when a part of the population has less representation in the sample than in the population.,Undercoverage,Voluntary response bias,Nonresponse bias,Response bias,20.0,3.0
22.0,"Bias introduced when a large fraction of those sampled fails to respond, leading to unrepresentative results.",Nonresponse bias,Randomization,Representative,Systematic sample,20.0,3.0
23.0,"Bias that occurs when anything in a survey design influences responses, such as the wording of questions.",Response bias,Sampling variability,Stratified random sample,Sampling frame,20.0,3.0
