"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,The entire group of individuals or instances about which we want to learn.,Population,Sampling variability,Systematic sample,Population parameter,20,1,,,,,,,,,,,,,,,,,,
2,A subset of a population examined to learn about the entire group.,Sample,Convenience sample,Undercoverage,Systematic sample,20,1,,,,,,,,,,,,,,,,,,
3,A study that asks questions of a sample drawn from a population to learn about the whole population.,Sample survey,Stratified random sample,Response bias,Convenience sample,20,1,,,,,,,,,,,,,,,,,,
4,A systematic failure of a sampling method that results in over- or underestimating population parameters.,Bias,Systematic sample,Randomization,Undercoverage,20,1,,,,,,,,,,,,,,,,,,
5,"A method that ensures each individual has an equal chance of selection, reducing bias.",Randomization,Bias,Multistage sample,Systematic sample,20,1,,,,,,,,,,,,,,,,,,
6,"The number of individuals included in a sample, influencing how well it represents the population.",Sample size,Response bias,Convenience sample,Representative,20,1,,,,,,,,,,,,,,,,,,
7,A sample that consists of the entire population.,Census,Nonresponse bias,Multistage sample,Bias,20,1,,,,,,,,,,,,,,,,,,
8,"A numerically valued attribute of a model for a population, often estimated from sampled data.",Population parameter,Pilot survey,Census,Systematic sample,20,1,,,,,,,,,,,,,,,,,,
9,Values calculated from sampled data that estimate population parameters.,"Statistic, sample statistic",Convenience sample,Sampling variability,Undercoverage,20,1,,,,,,,,,,,,,,,,,,
10,A sample accurately reflecting the corresponding population parameters.,Representative,Convenience sample,Sample survey,Simple random sample (SRS),20,1,,,,,,,,,,,,,,,,,,
11,A sample where each set of elements has an equal chance of being selected.,Simple random sample (SRS),Population parameter,Response bias,Systematic sample,20,1,,,,,,,,,,,,,,,,,,
12,A list of individuals from whom the sample is drawn.,Sampling frame,Nonresponse bias,Sample size,Stratified random sample,20,1,,,,,,,,,,,,,,,,,,
13,The natural tendency for randomly drawn samples to differ from one another.,Sampling variability,Stratified random sample,Sample survey,Undercoverage,20,1,,,,,,,,,,,,,,,,,,
14,"A sampling design where the population is divided into subpopulations, and samples are drawn from each.",Stratified random sample,Representative,Population,Systematic sample,20,1,,,,,,,,,,,,,,,,,,
15,"A sampling design where entire groups are chosen at random, with each group being representative of the population.",Cluster sample,Census,Convenience sample,Sampling variability,20,1,,,,,,,,,,,,,,,,,,
16,"A sampling design that combines several methods, such as stratifying the population and then selecting clusters within each stratum.",Multistage sample,Sample size,Pilot survey,Cluster sample,20,1,,,,,,,,,,,,,,,,,,
17,A sample drawn by selecting individuals systematically from a sampling frame.,Systematic sample,Stratified random sample,Sample,Census,20,1,,,,,,,,,,,,,,,,,,
18,A small trial run of a survey to check clarity and reduce errors.,Pilot survey,Systematic sample,Cluster sample,Population parameter,20,1,,,,,,,,,,,,,,,,,,
19,Bias introduced when individuals can choose whether to participate in a sample.,Voluntary response bias,Sampling frame,Undercoverage,Census,20,1,,,,,,,,,,,,,,,,,,
20,"A sample consisting of individuals who are conveniently available, often unrepresentative of the population.",Convenience sample,Bias,"Statistic, sample statistic",Sampling frame,20,1,,,,,,,,,,,,,,,,,,
21,Bias that occurs when a part of the population has less representation in the sample than in the population.,Undercoverage,Voluntary response bias,Nonresponse bias,Response bias,20,1,,,,,,,,,,,,,,,,,,
22,"Bias introduced when a large fraction of those sampled fails to respond, leading to unrepresentative results.",Nonresponse bias,Randomization,Representative,Systematic sample,20,1,,,,,,,,,,,,,,,,,,
23,"Bias that occurs when anything in a survey design influences responses, such as the wording of questions.",Response bias,Sampling variability,Stratified random sample,Sampling frame,20,1,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
