"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,An equation or formula that simplifies and represents reality.,Model,Least squares,Regression line (Line of best fit),Slope,20,1,,,,,,,,,,,,,,,,,,
2,"An equation of a line. To interpret a linear model, the variables (along with their W's) and their units must be known.",Linear model,Residuals,Model,Least squares,20,1,,,,,,,,,,,,,,,,,,
3,"The value found for a given x-value in the data, calculated by substituting the x-value into the regression equation. These values lie exactly on the fitted line.",Predicted value,Model,Intercept,Slope,20,1,,,,,,,,,,,,,,,,,,
4,Differences between observed data values and the corresponding predicted values from the regression model.,Residuals,Intercept,Regression line (Line of best fit),Predicted value,20,1,,,,,,,,,,,,,,,,,,
5,A criterion that specifies the unique line minimizing the variance of the residuals or the sum of the squared residuals.,Least squares,Predicted value,Linear model,Residuals,20,1,,,,,,,,,,,,,,,,,,
6,"The tendency for each predicted value to be closer to its mean than the corresponding x-value is to its mean, due to the correlation being less than 1.0.",Regression to the mean,Linear model,Intercept,Model,20,1,,,,,,,,,,,,,,,,,,
7,The particular linear equation that satisfies the least squares criterion.,Regression line (Line of best fit),Least squares,Slope,Linear model,20,1,,,,,,,,,,,,,,,,,,
8,"The value in 'y-units per x-unit,' representing changes in predicted values of y corresponding to changes of one unit in x.",Slope,Intercept,Standard error (S.),Predicted value,20,1,,,,,,,,,,,,,,,,,,
9,"The y-value when x is 0, providing a starting value in y-units.",Intercept,Predicted value,Slope,Linear model,20,1,,,,,,,,,,,,,,,,,,
10,"The standard deviation of the residuals, used to describe residuals under certain conditions.",Standard error (S.),Regression to the mean,Regression line (Line of best fit),Slope,20,1,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
