,,,,,,,
,,,,,,,
1,A process in which we know the possible outcomes but not which outcome will occur.,Random Phenomenon,Outcome,Probability Assignment Rule,Sample Space,20,1
2,A single attempt or realization of a random phenomenon.,Trial,Independence (Informally),Addition Rule,Probability Assignment Rule,20,1
3,The result or value measured from a trial.,Outcome,Law of Large Numbers,Random Phenomenon,Independence (Informally),20,1
4,"A collection of outcomes, usually represented by capital letters.",Event,Trial,Probability,Subjective Probability,20,1
5,The set of all possible outcomes of a random phenomenon.,Sample Space,Event,Trial,Disjoint (Mutually Exclusive),20,1
6,"The principle stating that as the number of trials increases, the relative frequency of outcomes approaches the true probability.",Law of Large Numbers,Addition Rule,Trial,Outcome,20,1
7,A measure between 0 and 1 that quantifies the likelihood of an event occurring.,Probability,Law of Large Numbers,Sample Space,Addition Rule,20,1
8,Two events are independent if the occurrence of one does not affect the probability of the other.,Independence (Informally),Subjective Probability,Addition Rule,Disjoint (Mutually Exclusive),20,1
9,Probability based on a model or theoretical analysis.,Theoretical Probability,Outcome,Independence (Informally),Sample Space,20,1
10,Probability based on personal judgment or belief.,Subjective Probability,Trial,Law of Large Numbers,Independence (Informally),20,1
11,The rule that the sum of probabilities for all outcomes in the sample space must equal 1.,Probability Assignment Rule,Subjective Probability,Independence (Informally),Outcome,20,1
12,The probability that an event does not occur is equal to 1 minus the probability that it does occur.,Complement Rule,Probability Assignment Rule,Outcome,Sample Space,20,1
13,Two events are disjoint if they cannot both occur at the same time.,Disjoint (Mutually Exclusive),Addition Rule,Complement Rule,Probability Assignment Rule,20,1
14,"If two events are disjoint, the probability that one or the other occurs is the sum of their probabilities.",Addition Rule,Probability Assignment Rule,Law of Large Numbers,Complement Rule,20,1
